id,url,account,text,date,retweet,favorite,mentioned,hashtags,geotags,keyword
"1035129325035704322","https://twitter.com/shepeake/status/1035129325035704322","shepeake","Good news .... Ir Ch UK Ch Arg Ch Sailorsbays Blizzard (Lotta) and Ir Ch UK Ch Riverrun Caution to the Wind (Uisce), had their annual BVA eye exam this morning and both clear from hereditary cataracts.", "20180830","0","0","","", "", "BVA News"
"1034941534246977537","https://twitter.com/News_965/status/1034941534246977537","News_965","#BomberosVoluntariosDeArrecifes #ÚltimoMomento #URGENTE (19:30hs) Bomberos concurren a un incendio forestal en Ruta 191 pasando la Estancia Curamalal.- ( BVA -C42). en Arrecifes, Argentina https://www. instagram.com/p/BnFKZ-5lv_1/ ?utm_source=ig_twitter_share&igshid=h8hzs6st43w5 …", "20180829","0","0","","#BomberosVoluntariosDeArrecifes # #URGENTE", "", "BVA News"
"1034941174124097542","https://twitter.com/News_965/status/1034941174124097542","News_965","#BomberosVoluntariosDeArrecifes #ÚltimoMomento #URGENTE (19:30hs) Bomberos concurren a un incendio forestal en Ruta 191 pasando la Estancia Curamalal.- ( BVA -C42). en Arrecifes, Argentina https://www. instagram.com/p/BnFKZ-5lv_1/ ?utm_source=ig_twitter_share&igshid=vrunjdwetlv6 …", "20180829","0","0","","#BomberosVoluntariosDeArrecifes # #URGENTE", "", "BVA News"
"1034391695352324097","https://twitter.com/News_965/status/1034391695352324097","News_965","#BomberosVoluntariosDeArrecifes #ÚltimoMomento #URGENTE (07:40hs). El reciente llamado de Bomberos se debe al incendio de un automóvil en Irlanda y Francia. Patrulla Urbana y Policia en el lugar ( BVA -C42).-", "20180828","0","0","","#BomberosVoluntariosDeArrecifes # #URGENTE", "", "BVA News"
"1034020311669399552","https://twitter.com/BritishVets/status/1034020311669399552","BritishVets","Some excellent news this #BankHolidayMonday ! A big win for #animalwelfare in England as @DefraGovUK announces it'll #BanShockCollars after a sustained campaign by BVA and other organisations https://www. gov.uk/government/new s/cruel-electric-shock-collars-for-pets-to-be-banned--2 … Cruel electric shock collars for pets to be banned", "20180827","29","65","@DefraGovUK","#BankHolidayMonday #animalwelfare #BanShockCollars", "", "BVA News"
"1032945794125651968","https://twitter.com/ZenopaLtd/status/1032945794125651968","ZenopaLtd","BVA wants government to increase post-rabies vaccination waiting time #government #Animalhealth #news http:// bit.ly/2w4eRAy pic.twitter.com/9bHMyaeo24", "20180824","0","0","","#government #Animalhealth #news", "", "BVA News"
"1032406220932571139","https://twitter.com/News_965/status/1032406220932571139","News_965","#BomberosVoluntariosdeArrecifes #VIVO #ÚltimoMomento #Urgente .(20:00hs). El reciente llamado de Bomberos se debe al incendio en una vivienda de calle San Juan a metros de Av.Peron. ( BVA -C42).- https://www. facebook.com/news965/videos /457403694741144/ …", "20180822","0","0","","#BomberosVoluntariosdeArrecifes #VIVO # #Urgente", "", "BVA News"
"1031479214849978368","https://twitter.com/news_incredible/status/1031479214849978368","news_incredible","Global Electro-Hydraulic Press Market 2018 Exclusive Manufacturers- ERICHSEN, Bramidan Balers, BVA http:// dlvr.it/QgTLZb pic.twitter.com/Kzyt4mGG9h", "20180820","0","0","","", "", "BVA News"
"1029776651343646726","https://twitter.com/bonamsaibaba/status/1029776651343646726","bonamsaibaba","News channel lo daddarillipothundhi bva mrng nunchi", "20180815","0","2","","", "", "BVA News"
"1027922635123044352","https://twitter.com/YaizaMeowMRCVS/status/1027922635123044352","YaizaMeowMRCVS","Current News : BVA puts the spotlight on brachycephalic cats http:// mrcvs.co.uk/en/news-story. php?id=17605 … via @mrcvsonline", "20180810","0","0","@mrcvsonline","", "", "BVA News"
"1025182472844308480","https://twitter.com/Breaking_NewsFR/status/1025182472844308480","Breaking_NewsFR","Non. Kantar, et il n'est pas propriétaire et il est dans la section santé et non sondages (kantar Health). Vous adorez propager des fake news !", "20180802","0","0","","", "", "BVA News"
"1035738700221693952","https://twitter.com/WadingThruCrap/status/1035738700221693952","WadingThruCrap","Do U believe in coincidences? 2031 8/31/18 1:06 PM Think [WAPO] Qanon yesterday (poll) POTUS today (poll) Notice any similarities? FAKE NEWS readers (asleep: not attentive or alert; inactive) told to SUPPORT SESSIONS? Every battle is won before it's ever fought. Are you awake? Q https:// twitter.com/realDonaldTrum p/status/1035717747936768000 …", "20180831","1","1","","", "", "Before It's News"
"1035733158564638720","https://twitter.com/StatenIslandNat/status/1035733158564638720","StatenIslandNat","Didn't figure you for the fake news type. He was saying Snickers. Some of us actually watched the entire conversation before making it into something it's not. Evel Dick, the new CNN", "20180831","0","2","","", "", "Before It's News"
