id,url,account,text,date,retweet,favorite,mentioned,hashtags,geotags,keyword
"1002392700434477057","https://twitter.com/News_965/status/1002392700434477057","News_965","#BomberosVoluntariosDeArrecifes #ÚltimoMomento #URGENTE (00:15hs). El reciente llamado de Bomberos se debe al incendio de un automóvil Fiat 147 luego de producirse un fortísimo impacto con otro vehículo Ford Ka, en Ruta 51 y Costa Rica. ( BVA -C42).- Pablo Cullen", "20180531","0","0","","#BomberosVoluntariosDeArrecifes # #URGENTE", "", "BVA News"
"1000884088293617666","https://twitter.com/americanunity40/status/1000884088293617666","americanunity40","#Congress , BVA , NCP file complaint over Maharashtra CM Fadnavis’ audio clip | mumbai news - https:// americanunity.us/2018/05/27/con gress-bva-ncp-file-complaint-over-maharashtra-cm-fadnavis-audio-clip-mumbai-news/ …", "20180527","0","0","","#Congress", "", "BVA News"
"1000027125028704257","https://twitter.com/TouFouX_News/status/1000027125028704257","TouFouX_News","RT @Brevesdepresse : INFO - À la veille de la grande journée de mobilisation du 26 mai et dans un contexte de tension sociale, Jean-Luc #Mélenchon voit sa cote d’influence progresser nettement (68%; +9) auprès des sympathisants de partis de gauche autres que le PS. ( BVA )", "20180525","0","0","@Brevesdepresse","#M", "", "BVA News"
"999960482361626624","https://twitter.com/bva_bonda/status/999960482361626624","bva_bonda","hitbtc bought a stake of xtz in ICO and after launch they change futures equal xtz", "20180525","0","0","","", "", "BVA News"
"999088115288457216","https://twitter.com/News_965/status/999088115288457216","News_965","#BomberosVoluntariosDeArrecifes #RíoArrecifes . Llegando Móvil Nro22.- ( BVA -C42).- https://www. facebook.com/news965/videos /1239889526153094/ …", "20180522","0","0","","#BomberosVoluntariosDeArrecifes #R", "", "BVA News"
"999040283886129152","https://twitter.com/laura1fleming/status/999040283886129152","laura1fleming","Great news @SharleniI Fantastic work Chloe! #BVA #YoungVetNetwork", "20180522","0","1","@SharleniI","#BVA #YoungVetNetwork", "", "BVA News"
"997114588637417473","https://twitter.com/BritishVets/status/997114588637417473","BritishVets","Extremely positive news on the back of continued collaborative work by #vets , #farmers & government to #KeepAntibioticsWorking @RUMA_UK @PigVetSoc @vmdgovuk @AHDB_Pork For more on BVA 's work on #AMR , see: http:// ow.ly/h0p930k2SeY http:// ow.ly/oiVm30k2RtB", "20180517","6","5","@RUMA_UK @PigVetSoc @vmdgovuk @AHDB_Pork","#vets #farmers #KeepAntibioticsWorking #AMR", "", "BVA News"
"997040296079904768","https://twitter.com/izas_ruizegino/status/997040296079904768","izas_ruizegino","BVA news vets must remain guardians of animal health and welfare in post-Brexit agri policy https://www. bva.co.uk/news-campaigns -and-policy/newsroom/news-releases/vets-must-remain-guardians-animal-health-welfare-post-brexit-agri-policy/ …", "20180517","1","3","","", "", "BVA News"
"996976580432973824","https://twitter.com/News_965/status/996976580432973824","News_965","#BomberosVoluntariosArrecifes ( BVA -C42) Otro día de búsqueda de Laureano.- Seguimos unando esfuerzos por agua, por aire, a pie, con perros, a caballo y todo lo que está a nuestro alcance, junto a las diferentes... https://www. facebook.com/news965/posts/ 1236387659836614 …", "20180517","0","0","","#BomberosVoluntariosArrecifes", "", "BVA News"
"996215567479705600","https://twitter.com/byronmatt/status/996215567479705600","byronmatt","No need to wait for BVA ’s board decision. Joe Salvino is signed, sealed and delivered. I also broke the news on Charleroi hiring Billy Wagner the night they lost in the WPIAL playoffs. Check the tweets .", "20180514","0","1","","", "", "BVA News"
