,keyword,1,2,3,4,5,6,7,8,9,10,11,12,
49,prntly,14,0,0,0,0,0,0,0,0,0,0,0,
50,react 365,0,0,0,0,0,0,0,0,0,0,0,0,
51,react365.com,13,0,0,0,0,0,0,0,0,0,0,0,
52,red flag news,3,0,0,0,0,0,0,0,0,0,0,0,
53,snoopack,0,0,0,0,0,0,0,0,0,0,0,0,
54,spin zone,910,0,0,0,0,0,0,0,0,0,0,0,
55,st george gazette,0,0,0,0,0,0,0,0,0,0,0,0,
56,stuppid,4,0,0,0,0,0,0,0,0,0,0,0,
57,super station 95,0,0,0,0,0,0,0,0,0,0,0,0,
58,the boston tribune,1,0,0,0,0,0,0,0,0,0,0,0,
59,the gateway pundit,337,0,0,0,0,0,0,0,0,0,0,0,
60,the last line of defense,500,0,0,0,0,0,0,0,0,0,0,0,
61,the news nerd,2,0,0,0,0,0,0,0,0,0,0,0,
62,the reporterz,0,0,0,0,0,0,0,0,0,0,0,0,
63,thenewyorkevening.com,42,0,0,0,0,0,0,0,0,0,0,0,
64,truetrumpers.com,0,0,0,0,0,0,0,0,0,0,0,0,
65,uconservative,32,0,0,0,0,0,0,0,0,0,0,0,
66,us postman,3,0,0,0,0,0,0,0,0,0,0,0,
67,usa daily info,0,0,0,0,0,0,0,0,0,0,0,0,
68,undergroundnewsreport.com,0,0,0,0,0,0,0,0,0,0,0,0,
69,united media publishing,0,0,0,0,0,0,0,0,0,0,0,0,
70,world truth tv,4,0,0,0,0,0,0,0,0,0,0,0,
71,yournewswire.com,5152,0,0,0,0,0,0,0,0,0,0,0,
72,bients.com,0,0,0,0,0,0,0,0,0,0,0,0,
73,bizstandardnews.com,79,0,0,0,0,0,0,0,0,0,0,0,
74,breakingnews247.net,0,0,0,0,0,0,0,0,0,0,0,0,
75,breakingnews365.net,0,0,0,0,0,0,0,0,0,0,0,0,
76,channel22news.com,0,0,0,0,0,0,0,0,0,0,0,0,
77,channel23news.com,6,0,0,0,0,0,0,0,0,0,0,0,
78,channel24news.com,13,0,0,0,0,0,0,0,0,0,0,0,
79,channel28news.com,3,0,0,0,0,0,0,0,0,0,0,0,
80,channel45news.com,8,0,0,0,0,0,0,0,0,0,0,0,
81,cnn-trending.com,0,0,0,0,0,0,0,0,0,0,0,0,
82,earlyview.net,0,0,0,0,0,0,0,0,0,0,0,0,
83,https://odishatv.in/,0,0,0,0,0,0,0,0,0,0,0,0,
84,prank.link,4,0,0,0,0,0,0,0,0,0,0,0,
85,usatoday.com.co,0,0,0,0,0,0,0,0,0,0,0,0,
86,washingtonpost.com.co,1,0,0,0,0,0,0,0,0,0,0,0,
87,wlinks.co,2,0,0,0,0,0,0,0,0,0,0,0,
88,worldnewsdailyreport.com ,3,0,0,0,0,0,0,0,0,0,0,0,
,total,47578,2690,2948,2621,2362,2342,2548,5410,15467,19335,22021,22021,147343
