id,url,account,text,date,retweet,favorite,mentioned,hashtags,geotags,keyword
"1024239798142291968","https://twitter.com/wfamarketers/status/1024239798142291968","wfamarketers","WFA's By Association is out! http:// ow.ly/uxj730lcb1I | Industry news & stories from @ANDA_Chileavisa , @ISBAsays , @BVA , @ABG_GCC , @AANA_says , UPA Italy, CANA China, ANFO Norway pic.twitter.com/2NFBRWmfCz", "20180731","1","2","@ANDA_Chileavisa @ISBAsays @BVA @ABG_GCC @AANA_says","", "", "BVA News"
"1018881476639813632","https://twitter.com/jitu381982/status/1018881476639813632","jitu381982","@VasaiVirarMcorp @BVA _vasai @Dev_Fadnavis @PMOIndia @narendramodi @RahulGandhi how you feel after reading this news . Can we expect concrete measures to avoid such situation in future rather than playing hindu muslim game https:// goo.gl/Hdi5KF", "20180716","0","0","@VasaiVirarMcorp @BVA @Dev_Fadnavis @PMOIndia @narendramodi @RahulGandhi","", "", "BVA News"
"1017956211138932736","https://twitter.com/News_965/status/1017956211138932736","News_965","#BomberosVoluntariosdeArrecifes #ÚltimoMomento #Urgente .(22:40hs). Bomberos concurren al incendio de cables en Av.Merlassino al 700. Trabajan también en el lugar Policía local, Patrulla Urbana y Edén. Precaución al circular ( BVA -C42).- https://www. facebook.com/news965/videos /1286154124859967/ …", "20180713","0","0","","#BomberosVoluntariosdeArrecifes # #Urgente", "", "BVA News"
"1017695374402883584","https://twitter.com/Renison007/status/1017695374402883584","Renison007","Keep voting for BVA", "20180713","0","0","","", "", "BVA News"
"1014748614151766016","https://twitter.com/thierryherrant/status/1014748614151766016","thierryherrant",". @Groupe_ BVA acquiert la startup de design et de création Okoni http://www. cbnews.fr/conseils/bva-a cquiert-la-startup-de-design-et-de-creation-okoni-a1043838 … via @cb_ news", "20180705","2","0","@Groupe_ @cb_","", "", "BVA News"
"1014567725140717568","https://twitter.com/57flibustier57/status/1014567725140717568","57flibustier57","Les sympathisants pour une union des droites en France selon BVA https://www. allurnews.com/fr-fr/2018/07/ 04/les-sympathisants-pour-une-union-des-droites-en-france-selon-bva/ … via @All UR News fr_FR", "20180704","0","0","@All","", "", "BVA News"
"1014446937561591808","https://twitter.com/SignCrafterUK/status/1014446937561591808","SignCrafterUK","BVA News - Don’t forget protect pet, warn vets sweltering heatwave http://www. bva.co.uk/news-campaigns -and-policy/newsroom/news-releases/feeling-the-heat--don-t-forget-to-protect-your-pet,-warn-vets/ …", "20180704","0","0","","", "", "BVA News"
"1013704123995361280","https://twitter.com/chagauthier/status/1013704123995361280","chagauthier","@david_lacombled bonjour! suis journaliste @radioclassique et souhaite vous interviewer ajd sur le fait que les jeunes sont la 1e cible des fake news  (sondage BVA ), et pour quelles raisons. Un numéro où vous joindre en DM? Merci d'avance! CG", "20180702","0","1","@david_lacombled @radioclassique","", "", "BVA News"
"1023708322229374976","https://twitter.com/LateNightzzz/status/1023708322229374976","LateNightzzz","Working to be at the top: Jeff Bezos Bill Gates Warren Buffett Amancio Ortega Mark Zuckerberg Bernard Arnault Carlos Slim Helu Larry Ellison Charles Koch David Koch Larry Page Michael Bloomberg Ma Huateng Sergey Brin Francoise Bettencourt Meyers Jack Ma Walton Family", "20180729","0","1","","", "", "Bloomberg.ma"
"1019142837546479617","https://twitter.com/Newsgeofficial/status/1019142837546479617","Newsgeofficial","Bloomberg-მა თანამედროვეობის ყველაზე მდიდარი ადამიანი დაასახელა – http:// News.ge https:// news.ge/bloomberg-ma-t anamedroveobis-yvelaze-mdidari-adamiani-daasaxela/ …", "20180717","0","0","","", "", "Bloomberg.ma"
"1019110251302449152","https://twitter.com/bes_ka888/status/1019110251302449152","bes_ka888","არადა გუშინ ამაზონი გათიშული იყო https:// m2b.ge/post/214975-bl oomberg-ma-tanamedrove-istoriasi-umdidresi-adamiani-daasaxela … https:// m2b.ge/post/214975-bl oomberg-ma-tanamedrove-istoriasi-umdidresi-adamiani-daasaxela …", "20180717","0","1","","", "", "Bloomberg.ma"
"1024498958025089025","https://twitter.com/Ewingweb/status/1024498958025089025","Ewingweb","Working on a lecture I'm teaching on fake news and found this sweet nugget from some Russia looking 2016 site called Conservative 101 .... pic.twitter.com/2uSM5jaXNf", "20180731","1","2","","", "", "Conservative 101"
